

+------------------------------------------+-----------------------------------+-----------------------------------+
|                                          |     Qwen2.5-Math-1.5B-Instruct    |       Llama-3.1-8B-Instruct       |
+------------------------------------------+-----------------------------------+-----------------------------------+
| Sparsity                                 |  0.00  |  0.25  |  0.50  |  0.75  |  0.00  |  0.25  |  0.50  |  0.75  |
+------------+-----------------------------+-----------------------------------+-----------------------------------+    
| Language   | MMLU (5-shot)               |        |        |        |        |        |        |        |        |        
|            | Hellaswag (5-shot)          |        |        |        |        |        |        |        |        |
+------------+-----------------------------+-----------------------------------+-----------------------------------+
| Reasoning  | ARC Challenge (10-shot)     |        |        |        |        |        |        |        |        |        
|            | BoolQ (0-shot)              |        |        |        |        |        |        |        |        |
|            | OpenBookQA (10-shot)        |        |        |        |        |        |        |        |        |
|            | PIQA (5-shot)               |        |        |        |        |        |        |        |        |
|            | WinoGrande (5-shot)         |        |        |        |        |        |        |        |        |
+------------+-----------------------------+-----------------------------------+-----------------------------------+
| Math       | GSM8K (8-shot-CoT)          |        |        |        |        |        |        |        |        |
|            | MATH-500 (Pass@1)           |        |        |        |        |        |        |        |        |
+------------+-----------------------------+-----------------------------------+-----------------------------------+
| Code       | LiveCodeBench (Pass@1-COT)  |        |        |        |        |        |        |        |        |
|            | Humaneval (Pass@1)          |        |        |        |        |        |        |        |        |
+------------+-----------------------------+-----------------------------------+-----------------------------------+

